0 (0.9752650176678446, 0.0025963808428000933)
0.01 (0.9752650176678446, 0.0026266060800604735)
0.1 (0.9752650176678446, 0.0026064774824254753)
1.0 (0.9752650176678446, 0.0026270944138742105)
10.0 (0.9752650176678446, 0.002644682326855714)
100.0 (0.9752650176678446, 0.0026495283748716736)
1000.0 (0.9762746087834427, 0.002659861917690225)
